CASENO,OFFENSE_CAT,OFFENSE,EVENT_MONTH,EVENT_DAY,EVENT_YEAR,EVENT_TIME,CVLEGEND,EVENT_DOW,Day,BLKADDR,City,State,Latitude,Longitude
16042280,VEHICLE THEFT,VEHICLE STOLEN,7,17,2016,16,MOTOR VEHICLE THEFT,0,Sunday,300 PANORAMIC WAY,Berkeley,CA,37.869926,-122.246398
16048878,VEHICLE THEFT,VEHICLE STOLEN,8,18,2016,16,MOTOR VEHICLE THEFT,4,Thursday,1900 BONITA AVE,Berkeley,CA,37.873454,-122.27209
16050316,THEFT,THEFT MISD. (UNDER $950),8,26,2016,11,LARCENY,5,Friday,1900 SHATTUCK AVE,Berkeley,CA,37.873687,-122.268616
16046007,THEFT,THEFT MISD. (UNDER $950),7,6,2016,0,LARCENY,3,Wednesday,3000 STANTON ST,Berkeley,CA,37.853203,-122.279642
16037695,VANDALISM,VANDALISM,6,25,2016,22,VANDALISM,6,Saturday,CALIFORNIA STREET & BANCROFT WAY,Berkeley,CA,37.866112,-122.279303
16091093,VANDALISM,VANDALISM,7,3,2016,18,VANDALISM,0,Sunday,2400 TELEGRAPH AVE,Berkeley,CA,37.866761,-122.258779
16052323,VEHICLE THEFT,VEHICLE STOLEN,9,4,2016,13,MOTOR VEHICLE THEFT,0,Sunday,1000 CRAGMONT AVE,Berkeley,CA,37.891102,-122.265854
16048316,MISSING PERSON,MISSING ADULT,8,16,2016,17,MISSING PERSON,2,Tuesday,1400 SIXTY-SEVENTH ST,Berkeley,CA,37.87783,-122.299723
16035891,NARCOTICS,NARCOTICS,6,17,2016,19,DRUG VIOLATION,5,Friday,1300 HASKELL ST,Berkeley,CA,37.851107,-122.28324
16035140,BURGLARY,BURGLARY AUTO,6,14,2016,9,BURGLARY - VEHICLE,2,Tuesday,2400 DURANT AVE,Berkeley,CA,37.867513,-122.26127
16050814,BURGLARY,BURGLARY AUTO,8,28,2016,13,BURGLARY - VEHICLE,0,Sunday,1200 FIFTH ST,Berkeley,CA,37.880786,-122.303067
16054328,DISTURBANCE,DISTURBANCE,9,13,2016,23,DISORDERLY CONDUCT,2,Tuesday,2400 TELEGRAPH AVE,Berkeley,CA,37.866761,-122.258779
16062121,BURGLARY,BURGLARY AUTO,10,18,2016,18,BURGLARY - VEHICLE,2,Tuesday,2200 SHATTUCK AVE,Berkeley,CA,37.869363,-122.268028
16091451,IDENTITY THEFT,IDENTITY THEFT,7,14,2016,12,FRAUD,4,Thursday,2100 HASTE ST,Berkeley,CA,37.864908,-122.267289
16033687,DISTURBANCE,DISTURBANCE,6,7,2016,20,DISORDERLY CONDUCT,2,Tuesday,1700 UNIVERSITY AVE,Berkeley,CA,37.870948,-122.27733
16048784,BURGLARY,BURGLARY AUTO,8,19,2016,8,BURGLARY - VEHICLE,5,Friday,900 MURRAY ST,Berkeley,CA,37.850809,-122.291042
16060329,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE,10,10,2016,19,FAMILY OFFENSE,1,Monday,3000 ACTON ST,Berkeley,CA,37.853085,-122.281368
16049504,VANDALISM,VANDALISM,8,20,2016,12,VANDALISM,6,Saturday,2100 JEFFERSON AVE,Berkeley,CA,37.869691,-122.27849
16056591,NARCOTICS,NARCOTICS,9,25,2016,19,DRUG VIOLATION,0,Sunday,ALCATRAZ AVENUE & ELLIS ST,Berkeley,CA,37.848585,-122.272612
16045990,DISTURBANCE,DISTURBANCE,8,4,2016,19,DISORDERLY CONDUCT,4,Thursday,2800 MCGEE AVE,Berkeley,CA,37.857474,-122.275425
16045469,THEFT,THEFT MISD. (UNDER $950),7,31,2016,17,LARCENY,0,Sunday,2400 PROSPECT ST,Berkeley,CA,37.867717,-122.249901
16064118,BURGLARY,BURGLARY RESIDENTIAL,10,26,2016,12,BURGLARY - RESIDENTIAL,3,Wednesday,1800 SHATTUCK AVE,Berkeley,CA,37.874441,-122.268717
16058794,DISTURBANCE,DISTURBANCE,10,3,2016,17,DISORDERLY CONDUCT,1,Monday,PARKER STREET & CHILTON WAY,Berkeley,CA,37.86317,-122.259572
16091707,VANDALISM,VANDALISM,10,3,2016,2,VANDALISM,1,Monday,2200 DURANT AVE,Berkeley,CA,37.866969,-122.26553
16036647,THEFT,THEFT FELONY (OVER $950),6,21,2016,5,LARCENY,2,Tuesday,2300 HEARST AVE,Berkeley,CA,37.874771,-122.262116
16037341,BURGLARY,BURGLARY AUTO,6,24,2016,9,BURGLARY - VEHICLE,5,Friday,2000 CENTER ST,Berkeley,CA,37.869973,-122.270557
16054031,DISTURBANCE,DISTURBANCE,9,12,2016,8,DISORDERLY CONDUCT,1,Monday,1600 BANCROFT WAY,Berkeley,CA,37.866135,-122.279115
16034460,THEFT,THEFT MISD. (UNDER $950),5,31,2016,0,LARCENY,2,Tuesday,1100 ADDISON ST,Berkeley,CA,37.868161,-122.291751
16054052,NARCOTICS,NARCOTICS,9,12,2016,18,DRUG VIOLATION,1,Monday,1900 SHATTUCK AVE,Berkeley,CA,37.873687,-122.268616
16038401,DISTURBANCE,DISTURBANCE,6,29,2016,11,DISORDERLY CONDUCT,3,Wednesday,1200 HASKELL ST,Berkeley,CA,37.850541,-122.286037
16062084,BURGLARY,BURGLARY RESIDENTIAL,10,12,2016,10,BURGLARY - RESIDENTIAL,3,Wednesday,2600 ETNA ST,Berkeley,CA,37.863823,-122.252575
16040898,BURGLARY,BURGLARY RESIDENTIAL,7,9,2016,16,BURGLARY - RESIDENTIAL,6,Saturday,1800 SONOMA AVE,Berkeley,CA,37.885752,-122.27805
16047027,NARCOTICS,NARCOTICS,8,9,2016,14,DRUG VIOLATION,2,Tuesday,800 HEARST AVE,Berkeley,CA,37.869084,-122.299245
16063841,VANDALISM,VANDALISM,10,27,2016,20,VANDALISM,4,Thursday,1500 JUANITA WAY,Berkeley,CA,37.877596,-122.28657
16063622,DISTURBANCE,DISTURBANCE,10,26,2016,23,DISORDERLY CONDUCT,3,Wednesday,SHATTUCK AVENUE & ALLSTON WAY,Berkeley,CA,37.86939,-122.267883
16064314,MISSING PERSON,MISSING ADULT,10,29,2016,19,MISSING PERSON,6,Saturday,1600 ALCATRAZ AVE,Berkeley,CA,37.848152,-122.275807
16091678,IDENTITY THEFT,IDENTITY THEFT,9,29,2016,9,FRAUD,4,Thursday,1500 FAIRVIEW ST,Berkeley,CA,37.849747,-122.277908
16047725,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,8,13,2016,17,ASSAULT,6,Saturday,1900 SHATTUCK AVE,Berkeley,CA,37.873687,-122.268616
16036663,BURGLARY,BURGLARY AUTO,6,21,2016,8,BURGLARY - VEHICLE,2,Tuesday,2400 RUSSELL ST,Berkeley,CA,37.857674,-122.259434
16046255,THEFT,THEFT FROM AUTO,8,6,2016,20,LARCENY - FROM VEHICLE,6,Saturday,EIGHTH STREET & ADDISON ST,Berkeley,CA,37.86715,-122.295113
16052074,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,9,3,2016,10,ASSAULT,6,Saturday,TELEGRAPH AVENUE & PARKER ST,Berkeley,CA,37.863272,-122.258656
16056860,VEHICLE THEFT,VEHICLE STOLEN,9,24,2016,18,MOTOR VEHICLE THEFT,6,Saturday,MILVIA STREET & BERRYMAN ST,Berkeley,CA,37.883555,-122.272036
16051678,FRAUD/FORGERY,FRAUD/FORGERY,9,1,2016,14,FRAUD,4,Thursday,2200 SHATTUCK AVE,Berkeley,CA,37.869363,-122.268028
16042529,THEFT,THEFT MISD. (UNDER $950),7,18,2016,17,LARCENY,1,Monday,2900 DOHR ST,Berkeley,CA,37.854612,-122.281178
16034172,BURGLARY,BURGLARY RESIDENTIAL,6,8,2016,20,BURGLARY - RESIDENTIAL,3,Wednesday,2400 PROSPECT ST,Berkeley,CA,37.867717,-122.249901
16091861,THEFT,THEFT MISD. (UNDER $950),10,28,2016,6,LARCENY,5,Friday,2500 REGENT ST,Berkeley,CA,37.865202,-122.257795
16052607,FRAUD/FORGERY,FRAUD/FORGERY,9,5,2016,23,FRAUD,1,Monday,1200 HASKELL ST,Berkeley,CA,37.850541,-122.286037
16056039,THEFT,THEFT MISD. (UNDER $950),9,21,2016,15,LARCENY,3,Wednesday,2900 ADELINE ST,Berkeley,CA,37.856121,-122.26876
16030938,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,5,26,2016,15,ASSAULT,4,Thursday,2700 DOHR ST,Berkeley,CA,37.857694,-122.281628
16052213,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,9,3,2016,19,ASSAULT,6,Saturday,ASHBY AVENUE & COLLEGE AVE,Berkeley,CA,37.857041,-122.253053
16060204,THEFT,ROBBERY,10,9,2016,23,ROBBERY,0,Sunday,SHATTUCK AVENUE & BANCROFT WAY,Berkeley,CA,37.867601,-122.267718
16059565,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,10,6,2016,22,ASSAULT,4,Thursday,STANTON STREET & RUSSELL ST,Berkeley,CA,37.854747,-122.280361
16044843,NARCOTICS,NARCOTICS,7,30,2016,19,DRUG VIOLATION,6,Saturday,SHATTUCK AVENUE & ADDISON ST,Berkeley,CA,37.871167,-122.268285
16091120,THEFT,THEFT MISD. (UNDER $950),7,4,2016,21,LARCENY,1,Monday,1900 SACRAMENTO ST,Berkeley,CA,37.871713,-122.282185
16041643,BURGLARY,BURGLARY AUTO,7,14,2016,15,BURGLARY - VEHICLE,4,Thursday,900 MILLER AVE,Berkeley,CA,37.893613,-122.262439
16042238,VEHICLE THEFT,VEHICLE STOLEN,7,17,2016,12,MOTOR VEHICLE THEFT,0,Sunday,HILLEGASS AVENUE & DERBY ST,Berkeley,CA,37.861672,-122.255992
16044080,NARCOTICS,NARCOTICS,7,27,2016,10,DRUG VIOLATION,3,Wednesday,1400 ALCATRAZ AVE,Berkeley,CA,37.847682,-122.279381
16091311,IDENTITY THEFT,IDENTITY THEFT,7,13,2016,9,FRAUD,3,Wednesday,1721 MARTIN LUTHER KING JR WAY,Berkeley,CA,37.87509,-122.27341
16091681,IDENTITY THEFT,IDENTITY THEFT,9,13,2016,19,FRAUD,2,Tuesday,2300 OREGON ST,Berkeley,CA,37.858291,-122.261727
16034285,FRAUD/FORGERY,FRAUD/FORGERY,6,7,2016,12,FRAUD,2,Tuesday,3000 DANA ST,Berkeley,CA,37.855167,-122.258753
16054877,THEFT,THEFT FROM AUTO,9,15,2016,16,LARCENY - FROM VEHICLE,4,Thursday,1800 GRANT ST,Berkeley,CA,37.873739,-122.275557
16090899,THEFT,THEFT FELONY (OVER $950),5,31,2016,15,LARCENY,2,Tuesday,900 HEINZ AVE,Berkeley,CA,37.853552,-122.291561
16058611,VANDALISM,VANDALISM,10,2,2016,18,VANDALISM,0,Sunday,2800 ACTON ST,Berkeley,CA,37.855579,-122.282153
16060658,ASSAULT/BATTERY,ASSAULT/BATTERY FEL.,10,12,2016,14,ASSAULT,3,Wednesday,", ",Berkeley,CA,37.86930285,-122.272234
16056516,BURGLARY,BURGLARY AUTO,9,23,2016,16,BURGLARY - VEHICLE,5,Friday,1400 SAN PABLO AVE,Berkeley,CA,37.878722,-122.295312
16048431,THEFT,THEFT FROM AUTO,8,17,2016,10,LARCENY - FROM VEHICLE,3,Wednesday,1600 PRINCE ST,Berkeley,CA,37.85177,-122.276489
16038332,ASSAULT/BATTERY,ASSAULT/BATTERY FEL.,6,28,2016,23,ASSAULT,2,Tuesday,SHATTUCK AVENUE & KITTREDGE ST,Berkeley,CA,37.868512,-122.26781
16062994,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,10,23,2016,22,ASSAULT,0,Sunday,BOWDITCH STREET & DURANT AVE,Berkeley,CA,37.868103,-122.25672
16051837,DISTURBANCE,DISTURBANCE,9,2,2016,12,DISORDERLY CONDUCT,5,Friday,700 GRAYSON ST,Berkeley,CA,37.85444,-122.296619
16035030,NARCOTICS,NARCOTICS,6,13,2016,23,DRUG VIOLATION,1,Monday,FOURTH STREET & BANCROFT WAY,Berkeley,CA,37.863069,-122.298445
16091824,BURGLARY,BURGLARY AUTO,10,23,2016,1,BURGLARY - VEHICLE,0,Sunday,600 ALVARADO RD,Berkeley,CA,37.857424,-122.237993
16051839,THEFT,THEFT FROM PERSON,9,2,2016,12,LARCENY,5,Friday,RUSSELL STREET & HARPER ST,Berkeley,CA,37.855982,-122.272388
16054121,ALCOHOL OFFENSE,ALCOHOL OFFENSE,9,12,2016,23,LIQUOR LAW VIOLATION,1,Monday,UNIVERSITY AVENUE & SHATTUCK AVE,Berkeley,CA,37.872106,-122.268405
16054813,VEHICLE THEFT,VEHICLE STOLEN,9,2,2016,15,MOTOR VEHICLE THEFT,5,Friday,2700 SHATTUCK AVE,Berkeley,CA,37.859802,-122.267177
16091203,THEFT,THEFT MISD. (UNDER $950),7,20,2016,13,LARCENY,3,Wednesday,2100 SHATTUCK AVE,Berkeley,CA,37.871167,-122.268285
16052578,THEFT,ROBBERY,9,4,2016,17,ROBBERY,0,Sunday,1900 SHATTUCK AVE,Berkeley,CA,37.873687,-122.268616
16051788,VEHICLE THEFT,VEHICLE STOLEN,9,1,2016,17,MOTOR VEHICLE THEFT,4,Thursday,2800 PARKER ST,Berkeley,CA,37.864072,-122.251438
16034167,ALCOHOL OFFENSE,ALCOHOL OFFENSE,6,9,2016,21,LIQUOR LAW VIOLATION,4,Thursday,2100 SHATTUCK AVE,Berkeley,CA,37.871167,-122.268285
16040145,BURGLARY,BURGLARY AUTO,7,7,2016,19,BURGLARY - VEHICLE,4,Thursday,HEARST AVENUE & OXFORD ST,Berkeley,CA,37.874145,-122.266225
16037145,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE,6,22,2016,23,FAMILY OFFENSE,3,Wednesday,3200 SACRAMENTO ST,Berkeley,CA,37.849431,-122.278174
16037412,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,6,24,2016,16,ASSAULT,5,Friday,2600 SHATTUCK AVE,Berkeley,CA,37.861677,-122.26716
16046549,THEFT,THEFT MISD. (UNDER $950),8,5,2016,14,LARCENY,5,Friday,2200 SIXTH ST,Berkeley,CA,37.865156,-122.296756
16090957,THEFT,THEFT MISD. (UNDER $950),6,8,2016,20,LARCENY,3,Wednesday,1000 CRAGMONT AVE,Berkeley,CA,37.891102,-122.265854
16091307,THEFT,THEFT MISD. (UNDER $950),8,2,2016,16,LARCENY,2,Tuesday,2200 SHATTUCK AVE,Berkeley,CA,37.869363,-122.268028
16061431,THEFT,ROBBERY,10,16,2016,14,ROBBERY,0,Sunday,1900 CENTER ST,Berkeley,CA,37.869685,-122.272804
16091480,IDENTITY THEFT,IDENTITY THEFT,8,30,2016,12,FRAUD,2,Tuesday,2000 ALLSTON WAY,Berkeley,CA,37.869096,-122.270137
16049475,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,8,22,2016,13,ASSAULT,1,Monday,2200 SHATTUCK AVE,Berkeley,CA,37.869363,-122.268028
16038233,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE,6,28,2016,13,FAMILY OFFENSE,2,Tuesday,1300 NEILSON ST,Berkeley,CA,37.880893,-122.289323
16091500,BURGLARY,BURGLARY AUTO,9,2,2016,15,BURGLARY - VEHICLE,5,Friday,100 SEAWALL DR,Berkeley,CA,37.863611,-122.317566
16044309,BURGLARY,BURGLARY AUTO,7,28,2016,9,BURGLARY - VEHICLE,4,Thursday,1300 NINTH ST,Berkeley,CA,37.879708,-122.297995
16056005,BURGLARY,BURGLARY RESIDENTIAL,9,21,2016,15,BURGLARY - RESIDENTIAL,3,Wednesday,1500 POSEN AVE,Berkeley,CA,37.883608,-122.285672
16045794,DISTURBANCE,DISTURBANCE,8,4,2016,12,DISORDERLY CONDUCT,4,Thursday,2600 RUSSELL ST,Berkeley,CA,37.858165,-122.255687
16040632,GUN/WEAPON,GUN/WEAPON,7,10,2016,1,WEAPONS OFFENSE,0,Sunday,SIXTH STREET & CEDAR ST,Berkeley,CA,37.874094,-122.299649
16035199,THEFT,THEFT FELONY (OVER $950),6,14,2016,18,LARCENY,2,Tuesday,1300 SAN PABLO AVE,Berkeley,CA,37.880262,-122.295809
16055997,BURGLARY,BURGLARY AUTO,9,21,2016,14,BURGLARY - VEHICLE,3,Wednesday,100 SEAWALL DR,Berkeley,CA,37.863611,-122.317566
16049425,IDENTITY THEFT,IDENTITY THEFT,8,22,2016,9,FRAUD,1,Monday,1900 CALIFORNIA ST,Berkeley,CA,37.871756,-122.2799
16091732,IDENTITY THEFT,IDENTITY THEFT,10,8,2016,19,FRAUD,6,Saturday,200 FOREST LN,Berkeley,CA,37.896466,-122.260327
16033820,VEHICLE THEFT,VEHICLE STOLEN,6,8,2016,11,MOTOR VEHICLE THEFT,3,Wednesday,2200 MILVIA ST,Berkeley,CA,37.868574,-122.270415
16040327,FRAUD/FORGERY,FRAUD/FORGERY,7,4,2016,14,FRAUD,1,Monday,1200 FRANCISCO ST,Berkeley,CA,37.87304,-122.289659
16091793,BURGLARY,BURGLARY AUTO,9,25,2016,20,BURGLARY - VEHICLE,0,Sunday,2900 TELEGRAPH AVE,Berkeley,CA,37.857452,-122.259548
16042162,DISTURBANCE,DISTURBANCE,7,17,2016,20,DISORDERLY CONDUCT,0,Sunday,DANA STREET & BANCROFT WAY,Berkeley,CA,37.868424,-122.261451
16057198,BURGLARY,BURGLARY AUTO,9,26,2016,21,BURGLARY - VEHICLE,1,Monday,1600 SAN PABLO AVE,Berkeley,CA,37.875189,-122.294176
16045181,VEHICLE THEFT,VEHICLE STOLEN,7,31,2016,19,MOTOR VEHICLE THEFT,0,Sunday,2700 TELEGRAPH AVE,Berkeley,CA,37.861387,-122.259001
16091692,VANDALISM,VANDALISM,9,28,2016,21,VANDALISM,3,Wednesday,2400 FOURTH ST,Berkeley,CA,37.861122,-122.297833
16061117,BURGLARY,BURGLARY AUTO,10,14,2016,18,BURGLARY - VEHICLE,5,Friday,1400 SHATTUCK AVE,Berkeley,CA,37.881957,-122.269551
16048052,IDENTITY THEFT,IDENTITY THEFT,8,10,2016,12,FRAUD,3,Wednesday,2400 WARRING ST,Berkeley,CA,37.867708,-122.250801
16044359,THEFT,THEFT MISD. (UNDER $950),7,7,2016,6,LARCENY,4,Thursday,900 PAGE ST,Berkeley,CA,37.876644,-122.299354
16056292,THEFT,THEFT MISD. (UNDER $950),9,23,2016,2,LARCENY,5,Friday,100 HILL RD,Berkeley,CA,37.888237,-122.25087
16091032,IDENTITY THEFT,IDENTITY THEFT,6,20,2016,8,FRAUD,1,Monday,1800 SAN RAMON AVE,Berkeley,CA,37.899766,-122.279795
16031364,BURGLARY,BURGLARY AUTO,5,28,2016,7,BURGLARY - VEHICLE,6,Saturday,RUSSELL STREET & LORINA ST,Berkeley,CA,37.856847,-122.265765
16059746,BRANDISHING,BRANDISHING,10,7,2016,19,WEAPONS OFFENSE,5,Friday,2100 SHATTUCK AVE,Berkeley,CA,37.871167,-122.268285
16031684,NARCOTICS,NARCOTICS,5,29,2016,18,DRUG VIOLATION,0,Sunday,HEARST AVENUE & MILVIA ST,Berkeley,CA,37.873607,-122.270903
16037337,DISTURBANCE,DISTURBANCE,6,23,2016,17,DISORDERLY CONDUCT,4,Thursday,2900 DERBY ST,Berkeley,CA,37.862393,-122.248851
16091490,VANDALISM,VANDALISM,9,1,2016,8,VANDALISM,4,Thursday,200 UNIVERSITY AVE,Berkeley,CA,37.865491,-122.310065
16053398,VEHICLE THEFT,VEHICLE STOLEN,9,9,2016,19,MOTOR VEHICLE THEFT,5,Friday,2500 MILVIA ST,Berkeley,CA,37.863186,-122.269791
16091159,THEFT,THEFT FELONY (OVER $950),7,13,2016,11,LARCENY,3,Wednesday,2000 FIFTH ST,Berkeley,CA,37.867271,-122.298682
16039360,BURGLARY,BURGLARY AUTO,7,3,2016,18,BURGLARY - VEHICLE,0,Sunday,200 UNIVERSITY AVE,Berkeley,CA,37.865491,-122.310065
16037343,VANDALISM,VANDALISM,6,24,2016,11,VANDALISM,5,Friday,3000 ADELINE ST,Berkeley,CA,37.85488,-122.269079
16057451,ALCOHOL OFFENSE,ALCOHOL OFFENSE,9,27,2016,21,LIQUOR LAW VIOLATION,2,Tuesday,ALCATRAZ AVENUE & KING ST,Berkeley,CA,37.848453,-122.273607
16051870,BURGLARY,BURGLARY COMMERCIAL,9,1,2016,19,BURGLARY - COMMERCIAL,4,Thursday,3000 TELEGRAPH AVE,Berkeley,CA,37.855435,-122.259841
16031332,MISSING PERSON,MISSING ADULT,5,27,2016,11,MISSING PERSON,5,Friday,2100 MILVIA ST,Berkeley,CA,37.870603,-122.270612
16044257,DISTURBANCE,DISTURBANCE,7,28,2016,9,DISORDERLY CONDUCT,4,Thursday,2900 STANTON ST,Berkeley,CA,37.854747,-122.280361
16091087,THEFT,THEFT FELONY (OVER $950),6,30,2016,20,LARCENY,4,Thursday,2100 FOURTH ST,Berkeley,CA,37.866253,-122.299483
16052482,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE,9,5,2016,9,FAMILY OFFENSE,1,Monday,2900 SACRAMENTO ST,Berkeley,CA,37.8549,-122.27945
16052525,BURGLARY,BURGLARY AUTO,9,5,2016,13,BURGLARY - VEHICLE,1,Monday,KITTREDGE STREET & HAROLD WAY,Berkeley,CA,37.868325,-122.269125
16053748,ALCOHOL OFFENSE,ALCOHOL OFFENSE,9,11,2016,3,LIQUOR LAW VIOLATION,0,Sunday,UNIVERSITY AVENUE & TENTH ST,Berkeley,CA,37.868915,-122.293322
16036587,THEFT,THEFT FROM AUTO,6,20,2016,8,LARCENY - FROM VEHICLE,1,Monday,2200 SHATTUCK AVE,Berkeley,CA,37.869363,-122.268028
16031997,VANDALISM,VANDALISM,5,27,2016,15,VANDALISM,5,Friday,400 SPRUCE ST,Berkeley,CA,37.904355,-122.270263
16056154,BURGLARY,BURGLARY RESIDENTIAL,9,22,2016,10,BURGLARY - RESIDENTIAL,4,Thursday,2100 EMERSON ST,Berkeley,CA,37.854536,-122.266403
16034252,THEFT,THEFT FROM AUTO,6,9,2016,21,LARCENY - FROM VEHICLE,4,Thursday,2000 DURANT AVE,Berkeley,CA,37.866426,-122.269762
16060905,BURGLARY,BURGLARY RESIDENTIAL,10,13,2016,20,BURGLARY - RESIDENTIAL,4,Thursday,3000 BATEMAN ST,Berkeley,CA,37.855721,-122.2559
16051080,DISTURBANCE,DISTURBANCE,8,29,2016,8,DISORDERLY CONDUCT,1,Monday,1200 MILVIA ST,Berkeley,CA,37.885705,-122.272792
16042634,VEHICLE THEFT,VEHICLE STOLEN,7,19,2016,18,MOTOR VEHICLE THEFT,2,Tuesday,1000 HEARST AVE,Berkeley,CA,37.869993,-122.294774
16091193,IDENTITY THEFT,IDENTITY THEFT,7,13,2016,20,FRAUD,3,Wednesday,2000 ASHBY AVE,Berkeley,CA,37.85491,-122.268666
16063534,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,10,26,2016,15,ASSAULT,3,Wednesday,1300 UNIVERSITY AVE,Berkeley,CA,37.869784,-122.286394
16052856,THEFT,THEFT FELONY (OVER $950),9,7,2016,9,LARCENY,3,Wednesday,1300 GILMAN ST,Berkeley,CA,37.881366,-122.289688
16038054,THEFT,THEFT MISD. (UNDER $950),6,27,2016,12,LARCENY,1,Monday,1800 FOURTH ST,Berkeley,CA,37.869944,-122.300636
16090887,VANDALISM,VANDALISM,5,28,2016,8,VANDALISM,6,Saturday,2100 GRANT ST,Berkeley,CA,37.870243,-122.275149
16041603,VANDALISM,VANDALISM,7,13,2016,22,VANDALISM,3,Wednesday,SAN PABLO AVENUE & ASHBY AVE,Berkeley,CA,37.852155,-122.28661
16050099,VEHICLE THEFT,VEHICLE STOLEN,8,23,2016,13,MOTOR VEHICLE THEFT,2,Tuesday,2900 STANTON ST,Berkeley,CA,37.854747,-122.280361
16040033,THEFT,THEFT MISD. (UNDER $950),7,7,2016,9,LARCENY,4,Thursday,1500 SHATTUCK AVE,Berkeley,CA,37.880227,-122.26936
16048651,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,8,18,2016,13,ASSAULT,4,Thursday,1000 GILMAN ST,Berkeley,CA,37.88015,-122.297446
16047156,DISTURBANCE,DISTURBANCE,8,11,2016,5,DISORDERLY CONDUCT,4,Thursday,1900 OXFORD ST,Berkeley,CA,37.873885,-122.266332
16046513,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE,8,8,2016,0,FAMILY OFFENSE,1,Monday,1100 OXFORD ST,Berkeley,CA,37.88878,-122.267659
16053981,DISTURBANCE,DISTURBANCE,9,12,2016,13,DISORDERLY CONDUCT,1,Monday,2000 BONAR ST,Berkeley,CA,37.869642,-122.287492
16042885,BURGLARY,BURGLARY RESIDENTIAL,7,21,2016,17,BURGLARY - RESIDENTIAL,4,Thursday,1100 FRANCISCO ST,Berkeley,CA,37.872656,-122.292748
16035179,THEFT,THEFT MISD. (UNDER $950),6,14,2016,15,LARCENY,2,Tuesday,2200 SHATTUCK AVE,Berkeley,CA,37.869363,-122.268028
16090910,IDENTITY THEFT,IDENTITY THEFT,6,1,2016,10,FRAUD,3,Wednesday,2700 PARK ST,Berkeley,CA,37.857468,-122.283418
16091210,THEFT,THEFT FELONY (OVER $950),7,19,2016,1,LARCENY,2,Tuesday,1600 SAN PABLO AVE,Berkeley,CA,37.875189,-122.294176
16033167,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,6,5,2016,13,ASSAULT,0,Sunday,UNIVERSITY AVENUE & SEAWALL DR,Berkeley,CA,37.863045,-122.317348
16061351,2ND RESPONSE,2ND RESPONSE,10,15,2016,22,NOISE VIOLATION,6,Saturday,2500 DWIGHT WAY,Berkeley,CA,37.865134,-122.258331
16058374,BURGLARY,BURGLARY AUTO,10,1,2016,12,BURGLARY - VEHICLE,6,Saturday,2000 UNIVERSITY AVE,Berkeley,CA,37.871828,-122.270516
16032981,NARCOTICS,NARCOTICS,6,4,2016,15,DRUG VIOLATION,6,Saturday,SHATTUCK AVENUE & KITTREDGE ST,Berkeley,CA,37.868512,-122.26781
16091121,IDENTITY THEFT,IDENTITY THEFT,7,2,2016,12,FRAUD,6,Saturday,2000 ASHBY AVE,Berkeley,CA,37.85491,-122.268666
16059363,SEXUAL ASSAULT,SEXUAL ASSAULT FEL.,9,5,2016,20,SEX CRIME,1,Monday,200 UNIVERSITY AVE,Berkeley,CA,37.865491,-122.310065
16091652,VANDALISM,VANDALISM,9,25,2016,20,VANDALISM,0,Sunday,2900 TELEGRAPH AVE,Berkeley,CA,37.857452,-122.259548
16043288,VANDALISM,VANDALISM,7,22,2016,17,VANDALISM,5,Friday,1300 ASHBY AVE,Berkeley,CA,37.85274,-122.283711
16044835,THEFT,ROBBERY,7,30,2016,18,ROBBERY,6,Saturday,CALIFORNIA STREET & OREGON ST,Berkeley,CA,37.854933,-122.2875
16061987,THEFT,THEFT FROM AUTO,10,18,2016,1,LARCENY - FROM VEHICLE,2,Tuesday,1400 BERKELEY WAY,Berkeley,CA,37.870881,-122.284399
16048492,THEFT,THEFT FROM AUTO,8,17,2016,0,LARCENY - FROM VEHICLE,3,Wednesday,1000 MURRAY ST,Berkeley,CA,37.851208,-122.289105
16064543,THEFT,THEFT MISD. (UNDER $950),10,28,2016,20,LARCENY,5,Friday,2400 PROSPECT ST,Berkeley,CA,37.867717,-122.249901
16059252,ASSAULT/BATTERY,ASSAULT/BATTERY FEL.,10,5,2016,18,ASSAULT,3,Wednesday,UNIVERSITY AVENUE & W FRONTAGE RD,Berkeley,CA,37.866265,-122.305592
16044015,VANDALISM,VANDALISM,7,26,2016,23,VANDALISM,2,Tuesday,3200 ADELINE ST,Berkeley,CA,37.850345,-122.270911
16091817,VANDALISM,VANDALISM,10,19,2016,10,VANDALISM,3,Wednesday,1800 SIXTH ST,Berkeley,CA,37.870289,-122.29843
