CASENO,OFFENSE_CAT,OFFENSE,EVENT_MONTH,EVENT_DAY,EVENT_YEAR,EVENT_TIME,CVLEGEND,EVENT_DOW,Day,BLKADDR,City,State,Latitude,Longitude
16043694,VEHICLE THEFT,VEHICLE STOLEN,7,24,2016,13,MOTOR VEHICLE THEFT,0,Sunday,3100 ETON AVE,Berkeley,CA,37.854012,-122.251243
16055670,VEHICLE THEFT,VEHICLE STOLEN,9,19,2016,18,MOTOR VEHICLE THEFT,1,Monday,2500 HILLEGASS AVE,Berkeley,CA,37.865149,-122.256487
16053964,THEFT,THEFT MISD. (UNDER $950),9,11,2016,17,LARCENY,0,Sunday,SOLANO AVENUE & FRESNO AVE,Berkeley,CA,37.891428,-122.27819
16091537,THEFT,THEFT FELONY (OVER $950),9,7,2016,22,LARCENY,3,Wednesday,2500 DURANT AVE,Berkeley,CA,37.867852,-122.258699
16046561,ASSAULT/BATTERY,ASSAULT/BATTERY FEL.,8,8,2016,11,ASSAULT,1,Monday,1900 CENTER ST,Berkeley,CA,37.869685,-122.272804
16039396,NARCOTICS,NARCOTICS,7,3,2016,22,DRUG VIOLATION,0,Sunday,2500 HILLEGASS AVE,Berkeley,CA,37.865149,-122.256487
16044230,NARCOTICS,NARCOTICS,7,28,2016,2,DRUG VIOLATION,4,Thursday,2600 DURANT AVE,Berkeley,CA,37.868164,-122.256314
16038390,THEFT,THEFT MISD. (UNDER $950),6,29,2016,10,LARCENY,3,Wednesday,2100 SHATTUCK AVE,Berkeley,CA,37.871167,-122.268285
16057267,VEHICLE THEFT,VEHICLE RECOVERED,9,24,2016,20,RECOVERED VEHICLE,6,Saturday,2300 NINTH ST,Berkeley,CA,37.864109,-122.292948
16055584,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,9,19,2016,6,ASSAULT,1,Monday,2200 SHATTUCK AVE,Berkeley,CA,37.869363,-122.268028
16055230,THEFT,ROBBERY,9,18,2016,0,ROBBERY,0,Sunday,2400 ELLSWORTH ST,Berkeley,CA,37.866074,-122.26331
16044614,THEFT,THEFT MISD. (UNDER $950),7,29,2016,20,LARCENY,5,Friday,2700 MILVIA ST,Berkeley,CA,37.860225,-122.269453
16055705,DISTURBANCE,DISTURBANCE,9,20,2016,10,DISORDERLY CONDUCT,2,Tuesday,3000 SHATTUCK AVE,Berkeley,CA,37.855026,-122.266475
16056744,DISTURBANCE,DISTURBANCE,9,24,2016,20,DISORDERLY CONDUCT,6,Saturday,2300 COLLEGE AVE,Berkeley,CA,37.868957,-122.254552
16091386,VANDALISM,VANDALISM,8,16,2016,1,VANDALISM,2,Tuesday,2200 CEDAR ST,Berkeley,CA,37.878756,-122.266534
16047255,BURGLARY,BURGLARY RESIDENTIAL,8,11,2016,15,BURGLARY - RESIDENTIAL,4,Thursday,2700 HASTE ST,Berkeley,CA,37.866568,-122.254084
16033590,THEFT,THEFT MISD. (UNDER $950),6,7,2016,12,LARCENY,2,Tuesday,2100 SHATTUCK AVE,Berkeley,CA,37.871167,-122.268285
16039430,THEFT,ROBBERY,7,4,2016,2,ROBBERY,1,Monday,1200 UNIVERSITY AVE,Berkeley,CA,37.869506,-122.288561
16053878,THEFT,ROBBERY,9,11,2016,21,ROBBERY,0,Sunday,ARCH STREET & VIRGINIA ST,Berkeley,CA,37.877323,-122.264273
16062108,GUN/WEAPON,GUN/WEAPON,10,20,2016,3,WEAPONS OFFENSE,4,Thursday,DANA STREET & BLAKE ST,Berkeley,CA,37.863963,-122.260546
16044935,ALCOHOL OFFENSE,ALCOHOL OFFENSE,7,31,2016,1,LIQUOR LAW VIOLATION,0,Sunday,900 TULARE AVE,Berkeley,CA,37.891199,-122.282401
16090967,VANDALISM,VANDALISM,6,10,2016,10,VANDALISM,5,Friday,1500 CEDAR ST,Berkeley,CA,37.876696,-122.282465
16037447,FRAUD/FORGERY,FRAUD/FORGERY,6,24,2016,18,FRAUD,5,Friday,1600 SHATTUCK AVE,Berkeley,CA,37.878112,-122.269114
16050733,2ND RESPONSE,2ND RESPONSE,8,28,2016,0,NOISE VIOLATION,0,Sunday,1000 KEITH AVE,Berkeley,CA,37.890366,-122.266998
16091070,BURGLARY,BURGLARY AUTO,6,28,2016,18,BURGLARY - VEHICLE,2,Tuesday,2300 DURANT AVE,Berkeley,CA,37.867259,-122.26324
16035599,VEHICLE THEFT,VEHICLE STOLEN,6,6,2016,8,MOTOR VEHICLE THEFT,1,Monday,CURTIS STREET & VIRGINIA ST,Berkeley,CA,37.873908,-122.290025
16033012,BURGLARY,BURGLARY RESIDENTIAL,6,4,2016,18,BURGLARY - RESIDENTIAL,6,Saturday,2900 FLORENCE ST,Berkeley,CA,37.857792,-122.258537
16090966,THEFT,THEFT MISD. (UNDER $950),6,11,2016,16,LARCENY,6,Saturday,1400 SAN PABLO AVE,Berkeley,CA,37.878722,-122.295312
16034178,NARCOTICS,NARCOTICS,6,9,2016,23,DRUG VIOLATION,4,Thursday,600 BAY ST,Berkeley,CA,37.850424,-122.296031
16047606,ALCOHOL OFFENSE,ALCOHOL OFFENSE,8,12,2016,0,LIQUOR LAW VIOLATION,5,Friday,SAN PABLO AVENUE & CEDAR ST,Berkeley,CA,37.875218,-122.294052
16091151,THEFT,THEFT MISD. (UNDER $950),7,12,2016,13,LARCENY,2,Tuesday,2300 BANCROFT WAY,Berkeley,CA,37.868119,-122.263888
16037333,DISTURBANCE,DISTURBANCE,6,23,2016,14,DISORDERLY CONDUCT,4,Thursday,1100 DELAWARE ST,Berkeley,CA,37.871689,-122.292898
16041534,VANDALISM,VANDALISM,7,14,2016,19,VANDALISM,4,Thursday,100 SEAWALL DR,Berkeley,CA,37.863611,-122.317566
16035022,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,6,9,2016,9,ASSAULT,4,Thursday,1700 PRINCE ST,Berkeley,CA,37.852136,-122.273695
16042897,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,7,21,2016,16,ASSAULT,4,Thursday,2100 DWIGHT WAY,Berkeley,CA,37.863977,-122.267307
16032449,ASSAULT/BATTERY,ASSAULT/BATTERY MISD.,6,2,2016,8,ASSAULT,4,Thursday,2800 ADELINE ST,Berkeley,CA,37.858079,-122.268016
16091596,BURGLARY,BURGLARY AUTO,9,16,2016,7,BURGLARY - VEHICLE,5,Friday,2800 STUART ST,Berkeley,CA,37.860045,-122.250988
16091830,IDENTITY THEFT,IDENTITY THEFT,10,5,2016,7,FRAUD,3,Wednesday,2100 MILVIA ST,Berkeley,CA,37.870603,-122.270612
